,ID,text,anger,disgust,fear,joy,sadness
3161,2018-Ar-00237,#خايف اروح المدرسه الاقي المدير بيومي فؤاد,0,0,1,0,1
3583,2018-Ar-03928,#احباط_تفجير_بالحرم هو رسالة للغرب الذين قالوا عن الإسلام أنه رعب و أطلقوا عليه #إسلاموفوبيا أن الإسلام بريء من الإرهاب,1,1,0,0,0
1918,2018-Ar-03440,شعور الانتصار ✌ 🏼 ️ 💪 🏼,0,0,0,1,0
598,2018-Ar-03645,هامورة تقتبس كلامي وتفسره على كيفها وتشتمني بعدين اذا حققت مرادها تبلكني \n#قصة_افلاس_قصيرة\n#غيرة\n#حقد,1,1,0,0,0
3424,2018-Ar-02584,لا تقترب من إمرأة فرّطت بشعرها الطويل على سبيل التغيير! ..\n 😡,1,1,0,0,1
1584,2018-Ar-01300,قصة حب #بهجت و # منيره 😂 😂 #ريح_المدام,0,0,0,1,0
3441,2018-Ar-00577,جيلنا اتحشر بين جيلين؛ جيل خاضع لكل حاجة وجيل خايف يكون زيهم وعايز يتمرد على كل حاجة,1,0,1,0,1
2699,2018-Ar-04077,اللى زعلانين من رد الفعل الغاضب من اخواتنا المسيحيين.\nسؤال يعنى..هوة انتوا مابتحسوش؟!\nلهم حق يغضبوا,1,0,0,0,1
192,2018-Ar-03444,فرحة دخول رمضان عالقلب تسوى الملايين :) الحمدلله اللهم انزل السكينة و الطمأنينة على قلوبنا ♥ ♥,0,0,0,1,0
1087,2018-Ar-03100,أشياء تبث السعادة ك رضا الله ورضا الوالدين إبتسامة الإخوة أناس أحبوك لله وفي الله سلامة الصدر وصفاء القلب ونقيه,0,0,0,1,0
1636,2018-Ar-03325,المعلمه المريضه هذي تركت اني تعبانه وكل شي ودققت على كلامي وليش اقول تعبان مو تعبانه,1,0,0,0,1
1721,2018-Ar-01759,الله لا يجعلكم تجربون وجع القلب،قد ايش يهلكّ.,0,0,0,0,1
2167,2018-Ar-03152,❥ يارب إني أخاف أن أتمتع بذنب فأنسى نفسي فيه فتسوء خاتمتي يارب أبعد عني كل ذنب صغيرا كان أو عظيما,0,0,1,0,1
3075,2018-Ar-04235,الحياة ابيض او اسود اللي يقول الوان كذاب يا سعاده يا تعاسه يا حب يا كره يا يمين يا يسار ابد ما فيها حل وسط 💔,1,0,0,0,1
521,2018-Ar-02287,#التفاؤل أن تثق بأن هناك ثمة ضوء في آخر الطريق المظلم و بصيص أمل مع نهاية كل صبر و ظنا حسنا بالله لا يحجبه تشاؤم بشر,0,0,0,1,0
3180,2018-Ar-00954,#اعدام_مصر انقلاب عسكري كامل الاركان لازم يكون فيه دم وظلم لاي من كان المهم اخويا واختك الان تحت ايديهم حنقعد نتفرج عليهم وهم بيذبحوا فيهم,1,1,1,0,1
3625,2018-Ar-01758,تبكي يوم زفافها فرح مهوب حزن إنها دموع الفرح ياهدوء هه,0,0,0,1,0
3748,2018-Ar-02627,@LuLuHyperSA #السعادة_في_لولو\n\nلمن تحتار من وين تشتري مقاضي رمضان \nلولو وفرت عليك الوقت والجهد كل أصناف بأسعار مناسبه,0,0,0,1,0
792,2018-Ar-03719,انت مبتكلمنيش علي الواطس ليه ؟\nيخربيت الطعليم المجاني 😠  \n#احلي_حاجه_في_رمضان2017,1,0,0,1,0
1672,2018-Ar-00366,يارب كثر شعور الفرحه اللي من هالنوع يارب,0,0,0,1,0
1159,2018-Ar-03599,أسوء شعور ممكن يمر عليك لما تسوي شي عشان شخص ، وفي المقابل تجيك منه ردة فعل تخليك فعلا تكره نفسك قبل ما تكره\n#بوح #فراق #مشاعر #خواطر #فراق,1,0,0,0,1
1021,2018-Ar-00875,ليش ضعيت الوفاء ليش خيبّت الامل ليش سببت الفراق؟.,1,0,0,0,1
600,2018-Ar-02535,يسوي نفسه حزين على فراقي وانا ادري انه اسعد انسان بدنيا,1,1,0,0,1
1073,2018-Ar-02053,@A_F_alajmiii والله انك نشمي وكفو يا حبي لكم يا أهل الكويت 😘,0,0,0,1,0
439,2018-Ar-02081,@I8l8lI ليه مبعد وانت داري اني .. حزين!\n\n^ صح بوحك 🌹,0,0,0,0,1
2360,2018-Ar-03343,@AlsisiOfficial فلوسي بتسرقوهاوتعملولكم المشاريع الاجتماعيةوتعملولناحروب اجتماعيةوترهيب وترغيب وعنصريةفلوسي فين كل مرتلمحواسال ونلقي عنف او,1,0,0,0,1
2073,2018-Ar-04132,وعيدك سعادة وبهجة وسرور ياالجنوبي الأصيل,0,0,0,1,0
87,2018-Ar-01491,#الهيبة #نادين_نسيب_نجيم #ملكة_الهيبة ايواااا راحت عليكي يا عليا بلش الفلم معك @nadinenjeim  اسا بدن يحطوها تحت الامر الواقع 😦,1,0,0,0,0
1885,2018-Ar-00364,مانا لو محستش ان بيتي مقبرة مش هروح \nولا عايزاني أنتحر بره 😂😂\n#بهجت \n#ريح_المدام 2017\n@AkramHosny !,1,0,0,0,1
1078,2018-Ar-03468,@fofo9439 @thawwil @Adelaltwaijri علي النعمه ياللي اسمك فهد انت اهبل ومانتش فاهم حاجه ... بس حانقول ايه طالع اهبل على امك,1,1,0,0,1
3245,2018-Ar-02010,وزير الخارجية الألماني: #ترامب سبب التوتر في #الخليج والهدف عزل #قطر,0,0,0,0,0
1028,2018-Ar-00296,يوم جميل: 🌹 #فرحة أطفال #سماء ملبدة بالغيوم #لمعان البروق #صوت الرعد #وبدر ملهم❤,0,0,0,1,0
3068,2018-Ar-02543,ياربي سترك 😰\nقمت تو والمكيف مطفى وما فيه أحد بالبيت إلا انا 😥,1,0,1,0,0
394,2018-Ar-01543,الحرب قامت ف كفرالشخ 😱😱😱\nفيه صوت ضرب نار .. رشاش آلي.. 😨\nحد يعرف في إيه !!!,0,0,1,0,0
2225,2018-Ar-01448,وفي اول يوم رمضان النضاره اتكسرت وده نذير شؤم عن امتحانات بعد بكره 🤓🤓,1,0,0,0,1
3499,2018-Ar-01102,إذا ما كنت سبب في سعادة إنسان لا تكون سبب في تحطيمه ما تدري يمكن تشعل بداخل شخص شمعة طموح وانجاز تؤجر عليه بآخرتك #اعيادنا_اثنين,0,0,0,1,0
2708,2018-Ar-03989,@arabqoute كلنا كالقمر لنا ماضي سيء اقصد جانب سيء 😅,0,0,0,0,1
671,2018-Ar-04002,أنا هطق لو مفتكرتش أحمد مالك ده شبه مين و ممكن أبطل أتفرج عالمسلسل 😡,1,0,0,0,0
2573,2018-Ar-03831,حانق سيدي الحكم ): احلامنا تدغدغ النجوم لتضحك علينا العالم,1,1,0,0,1
3505,2018-Ar-03929,عندي حاله كره لعيادات الاسنان بشكل رهيب,1,1,1,0,1
10,2018-Ar-02080,ثانيه واحده بس كدا .. يعني افلام الرعب اللي طول عمري اتفرج عليهم عادي بالنسبالي وكفر دلهاب مرعوبه اتفرج 5 دقايق ع بعض ..,0,0,1,0,0
438,2018-Ar-00802,اتذكرداعيه ألقت لنا محاضره عن اشياءتخوف وترهب واحنا تونا صغار متوسط وثانوي تفله بحجم السماء لك بدل مايرغبون بألجنه طوالي ترهيب #غرابيب_سود,0,0,1,0,0
1179,2018-Ar-04155,و ممكن تكون زعلان من حد جدا بس فى نفس الوقت واحشك جدا أصل الغلاوه واالحب ملهمش علاقة بالزعل,0,0,0,1,1
2130,2018-Ar-02820,#بهجة_أمل ٤٦ لما اشوف الحمام 😍 و هم متجمعين يأكلون ززرعوا كمية دهشة و سعادة بقلبي فكروني بحمام الحرم انهم كيووت 😍 😍 💕,0,0,0,1,0
1881,2018-Ar-00448,مايستفزن ويطلعن من طوري الا الاصوات المرتفعه وكانهم دقيقه ويتذابحون وهم بطبيعتهم,1,0,0,0,0
1542,2018-Ar-04130,هذا الفريق كان يلعب برديف عشان الدوري الاوربي بكرا بيحاولون يثبتون حالهم انا واثق في مدريد بس التوتر ما بيروح قبل مباراة ملقا ☹️ 💔,0,0,1,0,0
460,2018-Ar-02416,@SaMoRaAli النهاردة الواحد نفسه مغمومة خالص؛ وعاوز يسافر بس مش ﻷي دولة .. لكوكب تاني .. للمريخ! :(,0,0,0,0,1
2372,2018-Ar-00333,طيب اذا انا نفسي كنت محبط 🤔,0,0,0,0,1
157,2018-Ar-00839,@EnaasAhmed\nمالك بقيتي عِنِفة اووي كدة ليه ،،، لو خدتي بالك التوتس كلها كآبة 👊😂\nلا فرفشي كدة احنا داخلين ع فاينالز و مش ملاحقين 😂😂✋,0,0,0,1,1
248,2018-Ar-04030,#ياعلي ونطوف في عالم الولاء ونتمعن برسم صورة الكل يطرق باب الاحزان شيعتك يا علي اليوم تبصم الحزن من حقيقة واقع يقرح الكون #حب الحسين,0,0,0,1,1
3639,2018-Ar-02889,الشخص يصبر على إهمالك فتره معينه لما يشوف إن مافي فايده من الصبر ينسحب دون علمه بنفسه. #إهمال #الصبر,1,0,0,0,1
3607,2018-Ar-02512,يخرج على الناس ويقول ان بلاده تتعرض لمؤامرة كونية وهو ولد من رحم الخيانة ، سبحان الله ..,1,1,0,0,1
913,2018-Ar-01624,ليه الواحد معندوش ترف ان يلاقى حد يسمع سخافته و مشاكله التافهة ولا اللى مش تافهة واللى بيحصل ف اليوم عامة من غير ما يبدى امتعاض ولا زهق,1,1,0,0,1
2093,2018-Ar-03118,يا حبيبي علامك ليه وجهك عبوس\nاترك الضيق وقرب ايه يعني تعال🎼,0,0,0,1,1
1176,2018-Ar-03269,اللهم أبدل حزن أمي بفرح تبكي من شدته ، اللهم جنب والداي أذى الدنيا وأطل بأعمارهم وأحفظهم لي🖤🖤,0,0,0,1,0
2135,2018-Ar-04001,@formy1239 @6na_shmr @iraq_1981 ههههه سلم على عياك اختنا.     احبك الله واسعدك واسكن في قلبك الطمأنينه,0,0,0,1,0
1120,2018-Ar-01388,مبحبش التهديد حتى لو ف مصلحتى 😠,1,0,0,0,0
569,2018-Ar-01168,و بعدين يعني مااا اشوف المسلسل 😤,1,0,0,0,1
2231,2018-Ar-03049,#الغاليه_تستاهل من له قلب كبير يحمل كل الحب مثل قلبك من له حضن حنون واسع مثل حضنك من لديه لوحة باسمة الطلة مثل وجهك (أمي الغالية)❤,0,0,0,1,0
2841,2018-Ar-01732,ودي أتنفس بعممق كتمه غصه إختناق شي يعور #قلق,0,0,1,0,1
2586,2018-Ar-02434,ياللى #زعلان مني و #مخاصمني ومش عايز تاني #تكلمنى..\n.\nيلا في #داهيه,0,1,0,0,1
3557,2018-Ar-03811,ارحمووووني مقلب اييه الي يخلي شاروخان ميجيش مصر بطلوا جنازة عم بخ دي 😒😑😑👊 - يشعر بـنفاذ صبرها,1,1,0,0,0
2013,2018-Ar-04012,@dammam1974 هذا شخص مافيه مثله اثنين اتوقع ..جمال حنيه رومنسيه وش احكي وش اخلي💔💔💔,0,0,0,1,0
2756,2018-Ar-03450,انا عارف ان اشاعات زى كل موسم وان شاء الله هتنتهى بس بردو متوتر,0,0,1,0,0
3239,2018-Ar-04064,حياتي اطفال الثانوي ١٩٩٩ خايفين😨😂!\nهذا اخوف و أرعب شي عندهم هههههههههههههه #نتايج_التحصيلي,0,0,1,0,0
1468,2018-Ar-04198,والله ان قلبي شوي ينفجر من الزعل,1,0,0,0,1
2074,2018-Ar-01423,@iRa3awi لا فعلا محبطه خلصت تكن :(\nمدري ايش اسوي :(,1,0,0,0,1
228,2018-Ar-04287,بحس إن أي سُلطة في البلد بتستخدم أسلوب التخويف ، و احنا بنحبط و بنغضب بس عمرنا ما نتجرأ نرد ، مفيش حاجة تحميك أو تضمنلك حقك ،البقاء للأقوى,1,0,1,0,1
1050,2018-Ar-02581,#الازمه_الخليجيه تشرفت بلقاء الشيخ تميم بن حمد وكان غارق في التفكير وبعد حديثي معه أخذ يضحك وبدى مسرور وبعدها افقت من الحلم لعله خير,1,0,0,1,0
2017,2018-Ar-00704,لن انسى ارتجاف شفتاي عند تقبيل جبينك البارد نظرتي الأخيرة لك و بكاء قلبي المستمر جمعني الله بك في جنته يارب أختي فقيدة قلبي#اروى_الحمدان 😔 💗,0,0,0,1,1
2454,2018-Ar-02563,تمكنتي لأعمق نقطة فيني و بقلبي شلتي كل أنواع الحزن و الكآبة طيرتي ألم أنزرع بالقلب و حزن ألتمع بالعين,0,0,0,1,1
3376,2018-Ar-03532,للحين محزنه على اللي صار,0,0,0,0,1
1463,2018-Ar-03211,كانوا أذى وكان الله لطيف بي فأزالهم,0,0,0,1,0
3427,2018-Ar-01569,على كثر #حزني تماديت م لنت مديت لك هجري ولاني ب راجع كل البشر من طين إلا أنا ؛ كنت مخلوق من طين #و حنين و #مواجع #عتب_شمري,0,0,0,0,1
3181,2018-Ar-01717,انا حرفيآ #خايفه من الامتحان الجاي لدرجه مقضياها نوم مش عارفه اذاكر #ادعولي 😢 💔 — feeling هروب من امتحان '' E '',0,0,1,0,0
1924,2018-Ar-00426,@H_More_F والله كآبه غير طبيعيه بعدين عطني حل معقول ماطلع معك الا انتحر 😂,0,0,0,0,1
2517,2018-Ar-02778,وش هالاعب الي مع الاستقلال رقم ١٥ !! واضح انهم جايبينه من المخبز سيده للملعب 😦,1,1,0,0,1
802,2018-Ar-02354,ضايق صدري لِي ايام والله العظيم \nغصه في الحلق مدري وش اسوي بها ..,1,0,0,0,1
2969,2018-Ar-03627,يجيني اشمئزاز عظيم من - الناس الكذابه,0,1,0,0,0
2576,2018-Ar-01848,@Mohamedfarag000 الله ده انت بتغيظني بقااا 😒👊\nماشي م كلو بينجح فيه بس الاسئله بتخض شويه 😨🙈,0,1,0,0,1
1169,2018-Ar-01445,خنقات وبكا😦كيف صار,0,0,0,0,1
623,2018-Ar-02199,واللي كلامهم زي المطر يسقينا\nوينبت فينا من كلامهم ورد !\nكيف نجازيهم ياربي ؟💕,0,0,0,1,0
973,2018-Ar-03980,اللهم الفرح والإبتسامة الأبديه,0,0,0,1,0
1768,2018-Ar-04270,حين أفكر بفراقنا المحتوم يبكي البكاء طويلا ويشهق بالحسرة بالحسرة #الله_يعز_الوطن_ويعز_حكامه,0,0,1,0,1
3206,2018-Ar-04025,طفح السرور عليّ حتى أنه\nمن فرطِ ما قد سرني أبكاني\n\nيا عينُ قد صار البكا لك عادةً\nتبكين في فرحي وفي أحزاني\n\n#شعر #منقول,0,0,0,1,1
2916,2018-Ar-04374,سياخذ الجميع نصيبه في هذه الدنيا سعادة او حزن لن يفوتك شي كتبه الله لك فارضى بما كتبه الله وقل الحمدلله على كل شي 🌺,0,0,0,1,0
2395,2018-Ar-02000,عن كمية الانشكاح الي كنت فيها وانا بفضي الشنطة بتاعتي والاقي ورقة فيها اجمل كلام لمس قالبي ❤❤ اصدقاء اوضة 13 بجد حقيقي بحبكو اوي 😍,0,0,0,1,0
713,2018-Ar-02394,جيزان قبل قليل كمين محكم يؤدي بمقتل اكثر من 5 عسكريين سعوديين بينهم ضابط واسر 2 هذا سبب تحليق طائراتهم الجبانة بشكل هستيري الى جهنم,1,1,0,0,1
2858,2018-Ar-02441,"ما العشاء اليوم يا امي ""لقت تركت لك قليل من الحسرة وخيبة الامل في الموقد"" تسلم ايدك يا ست الكل",0,1,0,0,1
984,2018-Ar-00295,@mr_mlee7 اما ذاك فيه قلة حيا.!! 😶 الله ياخذهم\nصار الحرام شيء عادي عندهم يتفرجون بكل ثقة 😠,1,1,0,0,1
3482,2018-Ar-04027,صباح الخير لإبتسامة أمي لصديقتي المفضله لكل تلك الأشياء الصغيرة التي تزرع بدواخلنا سعادة عظيمة صباح الخير للعالم أجمع🕊 💛,0,0,0,1,0
